Unnamed: 0_level_0,VECPAC_3307_290124,VECPAC_3319_290124,VECPAC_3329_290124,VECPAC_3336_290124,VECPAC_3337_290124,VECPAC_3354_290124,VECPAC_3371_290124,VECPAC3302_260124,VECPAC3353_260124,VECPAC3369_260124,VECPAC3673_250124,VECPAC3674_250124,VECPAC3675_250124,VECPAC3677_250124,VECPAC3678_250124,VECPAC3679_250124,VECPAC3680_250124,VECPAC3688_260124,VECPAC3697_260124
Label,VECPAC_CTRL,VECPAC_CTRL,VECPAC_CTRL,VECPAC_CTRL,VECPAC_CTRL,VECPAC_CTRL,VECPAC_CTRL,VECPAC_CTRL,VECPAC_CTRL,VECPAC_CTRL,VECPAC_CTRL,VECPAC_CTRL,VECPAC_CTRL,VECPAC_CTRL,VECPAC_CTRL,VECPAC_CTRL,VECPAC_CTRL,VECPAC_CTRL,VECPAC_CTRL
"(2S,3R)-3-[(4E,7E)-Nona-4,7-dienoyl]-N,N-bis(trimethylsilyl)oxirane-2-carboxamide ",-0.30981526,-0.30981121,-0.30981297,-0.30980522,-0.30981664,-0.30981558,-0.30981826,-0.3098151,-0.30981301,-0.30981494,-0.30981625,-0.30981744,-0.30982084,-0.30982241,-0.30981947,-0.30981627,-0.309821,-0.309814,-0.30982022
(6S)-5-Methyltetrahydrofolic acid,,,,,,,,,,,,,,,,,,,
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol",,,,,,,,,,,,,,,,,,,1.74490952
"(9H-fluoren-9-yl)methanol, O-methoxycarbonyl-",0.001915365,0.281572934,0.44545144,0.576687789,0.053236073,0.817437064,0.839105709,0.623396978,0.603387349,0.791153851,0.545369491,0.596751538,0.691924338,0.22090258,0.249651724,,0.151087877,0.735773082,0.537110951
(CH3)2C=NC2H558,1.07926517,1.7849392,0.94086724,2.55694747,1.1396552,0.67407369,0.65812559,0.6997225,1.20733535,0.90153297,0.80871032,0.63736725,0.3049408,0.13463903,0.44256762,0.9592701,0.31978038,1.12048637,0.60635766
(pm)-alpha-Tocopherol acetate,-0.19841678,-0.19841678,-0.19841067,-0.19835254,-0.19841679,-0.19841678,-0.1983957,-0.19841678,-0.19841678,-0.19841678,-0.19841679,-0.19841679,-0.19841679,-0.1984168,-0.19841679,-0.19841679,-0.19841679,-0.19841678,-0.19841679
(pm)-N-Propylamphetamine,,,-0.4822434,0.875621,,,-0.5045137,,,,,,,,,,,,
(pm)-Norketamine,2.84333194,,,-1.56555636,,-0.58673518,,,,,,2.50198418,0.56935605,0.75027144,1.08121359,2.438342,,,0.96404107
(pm)-Phenylpropanolamine,-0.181306029,,0.581586876,,,0.30176317,-1.05560126,0.68944673,0.36686105,1.39549159,0.682905195,0.59287175,-0.418350161,0.065118976,-0.277028844,-1.053759393,0.407893429,0.686328033,-0.062467486
"(R*,S*)-2,3-Dihydroxybutanoic acid",2.4782666,3.2121215,1.9617341,3.8066552,2.5322484,1.7355381,,-0.5680732,-0.5680658,-0.5680727,-0.5680773,-0.5680816,-0.5680936,-0.5680992,-0.5680888,,-0.5680942,0.349846,-0.5680914
"(S,S)-(-)-Hydrobenzoin",-0.298610716,-0.364372801,-0.70051853,-0.419945428,-0.394667103,0.239492811,0.729511257,,,,,,,,,,,-0.471160795,
"1-(1-Hydroxybutyl)-2,5-dimethoxybenzene ",1.688144681,0.612740696,,0.58067163,0.082527971,1.194470916,2.377508919,-0.347519327,0.351893019,-0.195022691,2.81877065,0.123206312,0.802683025,0.415298293,0.388140412,,-0.027107389,0.278357299,0.019215904
"1-(2,4-Dimethoxyphenyl)-propan-2-one",1.27981291,1.61481445,0.90858421,2.13846754,1.11372056,1.03632867,1.00105431,0.96690669,1.48863249,1.1069553,1.60286293,1.221087,1.28301409,0.54486048,0.85204178,1.2543624,0.69567548,1.49713913,0.94087804
1-(3-Methylphenyl)piperazine,0.7531278,-0.99430311,0.7488063,-0.96844951,0.57569668,1.27613592,0.53138829,0.32228944,0.6078855,0.3864891,1.57367529,0.27234045,0.16325986,-1.04267968,0.35942371,0.66308913,-1.03657081,2.30806537,0.32841673
1-(4-Hydroxybenzylidene)acetone,3.69483902,,-0.5380399,,-0.54180342,-0.54072175,1.61514539,3.48075409,-0.53807637,1.35721378,-0.54140619,0.81256587,1.02985462,,-0.54471416,-0.54142687,,-0.5390966,-0.54548758
"1-(4-Methoxyphenyl)-4,6-dimethyl-2(1H)-pyrimidinone",-0.39846746,,,-0.67236638,,,-0.77537811,2.94840074,,3.67632423,,-0.7764064,2.01569437,,,,,,
1-Aminocyclopropanecarboxylic acid,-0.36839419,-0.34559351,-0.35583887,-0.34022724,-0.36004586,-0.39860649,-0.40178644,-0.37797993,,-0.38895587,-0.38503181,,-0.3787609,,,,-0.39010062,,
"1-Butanamine, N,N-diethyl-",0.6809203,1.025792977,0.344345717,1.604531201,0.538532284,0.165673769,0.153357445,0.119492684,0.364847617,0.227595966,0.093658088,0.005666019,-0.221067647,-0.306991418,-0.122476531,0.200824779,-0.178241172,0.276232259,0.071820515
"1-Cyclohexanone, 3-butyl-3-methyl-",-0.42108263,-0.42107189,-0.42107657,-0.42105603,-0.42108627,-0.42108348,-0.42109057,-0.42108219,-0.42107666,-0.42108178,-0.42108524,-0.4210884,-0.42109741,-0.42110156,-0.42109377,2.02917971,2.8755692,4.02524723,1.51916677
1-Cyclopentylethanol,,,,,,,,,,,,,,,,0.45225824,-0.01376245,0.53790967,0.23018646
"1-Decanol, 2-methyl-",-0.34981636,-0.34977902,-0.34979529,-0.34972386,-0.34982901,-0.34981932,-0.33011398,-0.34981484,-0.34979561,-0.3498134,-0.34982545,-0.34983643,-0.34986776,-0.34988222,-0.3498551,-0.34982564,-0.34986919,-0.34980475,-0.34986203
"1-Decene, 8-methyl-",,,,,,,-0.35507899,,,,,,,,,,,,
1-Deoxypentitol,,1.211053312,,,0.907923983,-0.718272078,0.363340064,0.896846622,1.227951954,,,,,-0.718768847,-0.082770112,,,,
1-Hexadecanol,-0.31509109,-0.31371181,-0.31431267,-0.31167483,-0.31555829,,-0.31611153,-0.31503484,-0.31432474,,-0.31542682,-0.31583238,,,-0.31652166,-0.31543366,-0.31704203,0.34174195,-0.31677765
1-Hexanol,,,,,,,,,,,,,,,,,,1.74425981,
1-Hydroxy-3-methoxy-6-methylanthraquinone,-0.27503427,-0.48197364,,-0.48196581,-0.48198074,0.45043633,,2.82806568,,-0.17050818,0.83439097,1.84097567,1.90795824,2.9444007,2.34114042,2.89502738,1.13814627,3.13775433,4.67629942
"1-Methyl-N,N-bis(trimethylsilyl)-4-[(trimethylsilyl)oxy]-1H-imidazol-2-amine",-0.49735475,,-0.496213148,,,-0.493244475,-0.707578707,-0.228835884,-0.328143572,-0.439236287,-0.516332709,-0.613000081,-0.623334803,-0.658608121,-0.601452019,0.018252616,-0.650473252,-0.607872215,-0.652844917
