Individual_Pval,FDR,Total_Nodes,Total_Edges,Positive_Edges,Negative_Edges,Pos_to_Neg,Density,Mean_Corr_Coeff
0.01,0.01,87,78,75,3,25.0,0.020850040096230954,0.8377374188405218
0.01,0.05,87,78,75,3,25.0,0.020850040096230954,0.8377374188405218
0.01,0.1,87,78,75,3,25.0,0.020850040096230954,0.8377374188405218
0.01,0.15,87,78,75,3,25.0,0.020850040096230954,0.8377374188405218
0.01,0.2,87,78,75,3,25.0,0.020850040096230954,0.8377374188405218
0.01,0.25,87,78,75,3,25.0,0.020850040096230954,0.8377374188405218
0.01,0.3,87,78,75,3,25.0,0.020850040096230954,0.8377374188405218
0.01,1.0,87,78,75,3,25.0,0.020850040096230954,0.8377374188405218
0.05,0.01,160,276,270,6,45.0,0.02169811320754717,0.7979908872793684
0.05,0.05,160,276,270,6,45.0,0.02169811320754717,0.7979908872793684
0.05,0.1,160,276,270,6,45.0,0.02169811320754717,0.7979908872793684
0.05,0.15,160,276,270,6,45.0,0.02169811320754717,0.7979908872793684
0.05,0.2,160,276,270,6,45.0,0.02169811320754717,0.7979908872793684
0.05,0.25,160,276,270,6,45.0,0.02169811320754717,0.7979908872793684
0.05,0.3,160,276,270,6,45.0,0.02169811320754717,0.7979908872793684
0.05,1.0,160,276,270,6,45.0,0.02169811320754717,0.7979908872793684
0.1,0.01,231,550,537,13,41.30769230769231,0.020703933747412008,0.7511691224667113
0.1,0.05,233,554,541,13,41.61538461538461,0.02049726209856445,0.749807414250595
0.1,0.1,233,554,541,13,41.61538461538461,0.02049726209856445,0.749807414250595
0.1,0.15,233,554,541,13,41.61538461538461,0.02049726209856445,0.749807414250595
0.1,0.2,233,554,541,13,41.61538461538461,0.02049726209856445,0.749807414250595
0.1,0.25,233,554,541,13,41.61538461538461,0.02049726209856445,0.749807414250595
0.1,0.3,233,554,541,13,41.61538461538461,0.02049726209856445,0.749807414250595
0.1,1.0,233,554,541,13,41.61538461538461,0.02049726209856445,0.749807414250595
0.15,0.01,290,838,800,38,21.05263157894737,0.019997613649922443,0.6915021748642912
0.15,0.05,297,876,836,40,20.9,0.01992901992901993,0.6827349371913852
0.15,0.1,297,876,836,40,20.9,0.01992901992901993,0.6827349371913852
0.15,0.15,297,876,836,40,20.9,0.01992901992901993,0.6827349371913852
0.15,0.2,297,876,836,40,20.9,0.01992901992901993,0.6827349371913852
0.15,0.25,297,876,836,40,20.9,0.01992901992901993,0.6827349371913852
0.15,0.3,297,876,836,40,20.9,0.01992901992901993,0.6827349371913852
0.15,1.0,297,876,836,40,20.9,0.01992901992901993,0.6827349371913852
0.2,0.01,365,1372,1284,88,14.590909090909092,0.02065331928345627,0.6485118229840422
0.2,0.05,374,1505,1409,96,14.677083333333334,0.021576751587790856,0.633688779807907
0.2,0.1,374,1505,1409,96,14.677083333333334,0.021576751587790856,0.633688779807907
0.2,0.15,374,1505,1409,96,14.677083333333334,0.021576751587790856,0.633688779807907
0.2,0.2,374,1505,1409,96,14.677083333333334,0.021576751587790856,0.633688779807907
0.2,0.25,374,1505,1409,96,14.677083333333334,0.021576751587790856,0.633688779807907
0.2,0.3,374,1505,1409,96,14.677083333333334,0.021576751587790856,0.633688779807907
0.2,1.0,374,1505,1409,96,14.677083333333334,0.021576751587790856,0.633688779807907
0.25,0.01,381,1681,1569,112,14.008928571428571,0.02322143942533499,0.6321645453557208
0.25,0.05,391,1973,1835,138,13.297101449275363,0.025877106695521016,0.6045601525084322
0.25,0.1,391,1981,1843,138,13.355072463768115,0.025982031608630073,0.6039584648592072
0.25,0.15,391,1981,1843,138,13.355072463768115,0.025982031608630073,0.6039584648592072
0.25,0.2,391,1981,1843,138,13.355072463768115,0.025982031608630073,0.6039584648592072
0.25,0.25,391,1981,1843,138,13.355072463768115,0.025982031608630073,0.6039584648592072
0.25,0.3,391,1981,1843,138,13.355072463768115,0.025982031608630073,0.6039584648592072
0.25,1.0,391,1981,1843,138,13.355072463768115,0.025982031608630073,0.6039584648592072
0.3,0.01,398,2137,1979,158,12.525316455696203,0.027049605711175526,0.6076086120226669
0.3,0.05,406,2700,2484,216,11.5,0.03284072249589491,0.568920284036063
0.3,0.1,406,2757,2535,222,11.41891891891892,0.033534026637474915,0.5644111624361963
0.3,0.15,406,2760,2538,222,11.432432432432432,0.03357051632913702,0.5641898489701254
0.3,0.2,406,2760,2538,222,11.432432432432432,0.03357051632913702,0.5641898489701254
0.3,0.25,406,2760,2538,222,11.432432432432432,0.03357051632913702,0.5641898489701254
0.3,0.3,406,2760,2538,222,11.432432432432432,0.03357051632913702,0.5641898489701254
0.3,1.0,406,2760,2538,222,11.432432432432432,0.03357051632913702,0.5641898489701254
1.0,0.01,419,7006,6081,925,6.574054054054054,0.0800036541777529,0.46085545904319636
1.0,0.05,420,11722,9985,1737,5.7484168105929765,0.13321968405500625,0.40105178449498585
1.0,0.1,420,15055,12575,2480,5.070564516129032,0.17109898852142288,0.36193670402819167
1.0,0.15,420,17280,14239,3041,4.682341335087142,0.19638595294919878,0.33767527260563046
1.0,0.2,420,18909,15396,3513,4.3825789923142615,0.21489942038868054,0.32034311881834565
1.0,0.25,420,20076,16206,3870,4.187596899224806,0.22816229116945108,0.3082347688623473
1.0,0.3,420,20984,16829,4155,4.050300842358604,0.23848164564155017,0.299144806826751
1.0,1.0,420,23810,18655,5155,3.6188166828322017,0.27059893169678373,0.27125921713593665
