Unnamed: 0_level_0,LPS945_160124,LPS946_160124,LPS947_160124,LPS948_160124,LPS949_160124,LPS950_160124,LPS951_160124,LPS952_160124,LPS953_160124,LPS955_160124,LPS956_160124,LPS957_160124,LPS958_160124,LPS959_160124,LPS960_160124,LPS961_160124,LPS962_160124,LPS963_160124,LPS934_150124,LPS935_150124,LPS936_150124,LPS939_150124,LPS940_150124,LPS941_150124,LPS942_150124,pls_74_12012022,pls_71_a_12012022,pls_106_13012022,pls_104_13012022,pls_102_13012022,pls_100_13012022,pls_103_14012022,pls_101_REP_14012022,pls_75_13012022,DSS73_REP_190124,DSS76_REP_190124,DSS77_REP_190124,DSST0.7_180124,DSS107_190124,DSS901_190124,DSS902_190124,DSST1.5_190124,DSST1.6_190124,DSST1.7_190124,DSST1.8_190124,pls_116_12012022,pls_118_a_12012022,pls_119_13012022,pls_89_14012022,pls_120_13012022,pls_88_13012022,DSS85_230124,DSS87_230124,DSS90_230124,DSS117_REP_310124,DSS122_230124,DSS906_230124,DSS907_230124,DSST3.6_230124,DSST3.7_230124,DSST3.8_230124,pls_129_12012022,pls_127_a_12012022,pls_70_a_12012022,pls_97_13012022,pls_123_13012022,pls_96a_14012022,pls_128_rep_14012022,pls_126_14012022,pls_124_14012022,pls_125_13012022,DSS91_REP_310124,DSS94_250124,DSS95_250124,DSS125_250124,DSS126_250124,DSS127_250124,DSS129_250124,DSS912_REP_250124,DSST5.5_REP_250124,DSST5.6_REP_250124,DSST5.8_250124,VECPAC_3307_290124,VECPAC_3319_290124,VECPAC_3329_290124,VECPAC_3336_290124,VECPAC_3337_290124,VECPAC_3354_290124,VECPAC_3371_290124,VECPAC3302_260124,VECPAC3353_260124,VECPAC3369_260124,VECPAC3673_250124,VECPAC3674_250124,VECPAC3675_250124,VECPAC3677_250124,VECPAC3678_250124,VECPAC3679_250124,VECPAC3680_250124,VECPAC3688_260124,VECPAC3697_260124,VECPAC_3352_290124,VECPAC_3355_290124,VECPAC_3664_290124,VECPAC_3665_290124,VECPAC_3689_290124,VECPAC3296_300124,VECPAC3303_300124,VECPAC3304_300124,VECPAC3306_300124,VECPAC3318_300124,VECPAC3328_300124,VECPAC3330_300124,VECPAC3334_300124,VECPAC3356_300124,VECPAC3370_300124
Label,LPS_2.5h,LPS_2.5h,LPS_2.5h,LPS_2.5h,LPS_2.5h,LPS_2.5h,LPS_2.5h,LPS_2.5h,LPS_2.5h,LPS_24h,LPS_24h,LPS_24h,LPS_24h,LPS_24h,LPS_24h,LPS_24h,LPS_24h,LPS_24h,LPS_CTRL,LPS_CTRL,LPS_CTRL,LPS_CTRL,LPS_CTRL,LPS_CTRL,LPS_CTRL,DSS_T0,DSS_T0,DSS_T0,DSS_T0,DSS_T0,DSS_T0,DSS_T0,DSS_T0,DSS_T0,DSS_T0,DSS_T0,DSS_T0,DSS_T0,DSS_T1,DSS_T1,DSS_T1,DSS_T1,DSS_T1,DSS_T1,DSS_T1,DSS_T3,DSS_T3,DSS_T3,DSS_T3,DSS_T3,DSS_T3,DSS_T3,DSS_T3,DSS_T3,DSS_T3,DSS_T3,DSS_T3,DSS_T3,DSS_T3,DSS_T3,DSS_T3,DSS_T5,DSS_T5,DSS_T5,DSS_T5,DSS_T5,DSS_T5,DSS_T5,DSS_T5,DSS_T5,DSS_T5,DSS_T5,DSS_T5,DSS_T5,DSS_T5,DSS_T5,DSS_T5,DSS_T5,DSS_T5,DSS_T5,DSS_T5,DSS_T6,VECPAC_CTRL,VECPAC_CTRL,VECPAC_CTRL,VECPAC_CTRL,VECPAC_CTRL,VECPAC_CTRL,VECPAC_CTRL,VECPAC_CTRL,VECPAC_CTRL,VECPAC_CTRL,VECPAC_CTRL,VECPAC_CTRL,VECPAC_CTRL,VECPAC_CTRL,VECPAC_CTRL,VECPAC_CTRL,VECPAC_CTRL,VECPAC_CTRL,VECPAC_CTRL,VECPAC_CRE+,VECPAC_CRE+,VECPAC_CRE+,VECPAC_CRE+,VECPAC_CRE+,VECPAC_CRE+,VECPAC_CRE+,VECPAC_CRE+,VECPAC_CRE+,VECPAC_CRE+,VECPAC_CRE+,VECPAC_CRE+,VECPAC_CRE+,VECPAC_CRE+,VECPAC_CRE+
"(2S,3R)-3-[(4E,7E)-Nona-4,7-dienoyl]-N,N-bis(trimethylsilyl)oxirane-2-carboxamide ",-0.30981928,-0.30981465,-0.30981801,-0.29599789,-0.30981986,-0.30982308,-0.30981872,-0.30982192,-0.30981892,-0.30981649,-0.3098199,-0.30981828,-0.30981963,-0.30981703,-0.30982095,-0.30982193,-0.30982161,-0.309816,-0.30303865,-0.30981455,-0.30981476,-0.29300371,-0.29974763,-0.30970959,-0.30981301,-0.18207942,-0.14893893,1.00393503,-0.30983512,0.1998013,0.14234806,0.07300218,0.104982,-0.25516905,2.75717915,3.15359744,2.4371981,-0.30979674,-0.30982836,-0.30979616,-0.30978975,-0.30978986,-0.30980033,-0.30981021,-0.30980336,-0.06931737,-0.30983456,-0.30983297,-0.30983231,-0.27884054,-0.22070644,0.40247561,2.18183627,3.80599214,8.1133724,-0.30981754,-0.30981443,-0.30979931,-0.30979153,-0.30978684,-0.30980245,-0.30983759,-0.30983561,-0.20590043,-0.30983787,-0.05162916,-0.30983727,-0.30983591,-0.30983788,-0.1482412,-0.30983812,1.32180586,1.40853079,1.57436611,0.88309782,2.50995575,0.14928717,-0.10085295,-0.30980451,-0.30979891,-0.30980892,-0.30981252,-0.30981526,-0.30981121,-0.30981297,-0.30980522,-0.30981664,-0.30981558,-0.30981826,-0.3098151,-0.30981301,-0.30981494,-0.30981625,-0.30981744,-0.30982084,-0.30982241,-0.30981947,-0.30981627,-0.309821,-0.309814,-0.30982022,-0.3098178,-0.30982378,-0.30982389,-0.30981858,-0.30982278,-0.30982346,-0.30982106,-0.30981637,-0.30981926,-0.30981798,-0.30981847,-0.30982311,-0.30982,-0.30981293,-0.30982751
(6S)-5-Methyltetrahydrofolic acid,,,,-0.2253973,,,,,,,,,,,,,,,-0.2239267,,,4.1892139,-0.224655,-0.2248649,,-0.2271559,-0.2275681,-0.227439,,-0.2264751,0.7095405,-0.2271249,-0.2279208,-0.2274875,-0.2272267,0.1073074,-0.2267655,,,,,,,,,-0.2276819,,,,-0.2278366,0.3745783,-0.2262229,-0.2267339,-0.2270094,-0.2267688,,,,,,,-0.2282356,,-0.2280005,,-0.227735,,,,-0.2276598,,-0.2273109,-0.2268511,-0.2266004,-0.2271149,-0.2116131,-0.2273733,-0.2090628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol",0.49437852,,,,,,,,,,,,,,,,,,,-0.78873844,,0.60385477,,,,-0.54817957,,,,,0.21719673,,,,,-0.29611196,,,,,,,,,,-0.61076596,,,,,-0.13424,,,,,,,-0.78842518,,,,-0.5028326,,,,,-0.51891971,,,,,,,,,-0.78882944,,-0.37479384,,,,,,,,,,,,,,,,,,,,,,,1.74490952,,,,,,,,,,,,,,,
"(9H-fluoren-9-yl)methanol, O-methoxycarbonyl-",-1.42397321,,,,,,,-0.55323693,-0.32304481,-0.294713481,-0.356533766,0.796263836,0.564460391,1.154371544,0.366749046,0.325999539,0.189612032,0.687861573,,,,-0.387655549,,-0.231411976,,-0.815687949,-0.988191585,-0.915198825,-1.144611935,-0.453718424,-0.711834909,-0.76046341,-1.150847774,-1.000600619,-0.779505405,-0.615331351,,,-0.645413901,,,,,,,-1.025597279,-1.08168528,-0.967435343,-0.959576737,-1.134868945,-0.862990694,,,,,,,,,,,-1.327634698,,-1.214740117,-1.332690952,-1.112432395,-1.297537756,-1.208260695,-1.352711797,-1.055387496,-1.361211913,-0.911883705,,,-0.329604974,,-0.599496967,-0.75785028,,,,,0.001915365,0.281572934,0.44545144,0.576687789,0.053236073,0.817437064,0.839105709,0.623396978,0.603387349,0.791153851,0.545369491,0.596751538,0.691924338,0.22090258,0.249651724,,0.151087877,0.735773082,0.537110951,0.428820707,-0.085436856,0.076993739,0.47964931,0.008011539,0.160109738,-0.216469734,-0.097189154,0.596431992,-0.021994911,0.57240993,-0.086589466,-0.166093282,,-0.449157349
(CH3)2C=NC2H558,0.38107568,0.93948007,0.47176072,0.45487946,0.54417849,-0.05478439,0.72041176,0.23981721,0.43451248,0.87910398,0.56567766,0.60970054,0.50975352,0.79693428,0.51630309,0.19540878,0.13575774,0.82592323,0.78087514,0.72926149,0.6945531,0.45110039,0.81214552,0.79226287,0.98415985,-1.17638125,-1.23936054,-1.07762146,-1.25151953,-0.57413314,-0.5879506,-0.90144056,-1.34950188,-1.08345885,-1.26495605,-1.32551877,,0.83791363,-1.03877281,0.96744104,1.57360103,1.29625284,0.6112957,0.01999047,0.49577233,-1.97032005,-1.39811759,-1.15284601,-1.26872775,-1.43107386,-0.92350209,-0.85503087,-1.01865029,-1.22097949,-1.01673506,-0.28757076,-0.13318543,1.37143763,0.99144893,1.30427883,0.49083817,-1.67478126,-1.47064832,-1.5004642,-1.60672604,-1.29681448,-1.60265939,-1.52845689,-1.68391715,-1.23733296,-1.57448532,-1.32153569,-0.93762316,-0.78933695,-1.11923506,-0.35859748,-1.23141059,-1.2866901,0.57847475,0.83773515,0.78016783,0.12584069,1.07926517,1.7849392,0.94086724,2.55694747,1.1396552,0.67407369,0.65812559,0.6997225,1.20733535,0.90153297,0.80871032,0.63736725,0.3049408,0.13463903,0.44256762,0.9592701,0.31978038,1.12048637,0.60635766,0.70872668,0.07901193,-0.09158909,0.46090956,0.1711256,0.04954983,0.64284383,1.11818116,0.56532019,1.00465051,0.65270573,0.01217856,1.01458178,1.011883,-0.47113228
(pm)-alpha-Tocopherol acetate,-0.19838281,-0.19825353,-0.19841679,-0.19841679,-0.19840823,-0.1984168,-0.19841679,-0.19841679,-0.19841664,-0.19841679,-0.19841679,-0.19841679,-0.19841679,-0.19841645,-0.19841679,-0.19841679,-0.19832288,-0.19841678,-0.19841677,-0.19838577,-0.19841678,-0.19841679,-0.19841678,-0.19836595,-0.19841678,-0.13469142,-0.08014017,-0.06273883,-0.12966564,-0.12341288,0.03163657,-0.11705081,-0.13448022,-0.02807031,-0.0887858,0.2578896,0.72275044,-0.19841675,-0.19557609,-0.19841675,-0.19841674,-0.19841674,-0.19841676,-0.19841678,-0.19841676,-0.14658992,-0.08000254,-0.13300455,-0.19841681,0.02831157,0.06429367,0.3465954,1.97492419,-0.19841681,-0.1984168,-0.19841679,1.12882903,1.39558378,-0.19841674,-0.19841674,-0.19841676,-0.17443025,-0.11436678,-0.16509527,-0.16238858,-0.06564575,-0.09834817,-0.19841682,-0.17300457,-0.13700196,-0.12968082,0.7653745,-0.19841681,0.61076039,0.75823796,1.36865443,-0.06685647,1.44898396,-0.19841677,-0.19841676,0.15769344,-0.05237974,-0.19841678,-0.19841678,-0.19841067,-0.19835254,-0.19841679,-0.19841678,-0.1983957,-0.19841678,-0.19841678,-0.19841678,-0.19841679,-0.19841679,-0.19841679,-0.1984168,-0.19841679,-0.19841679,-0.19841679,-0.19841678,-0.19841679,-0.19841679,-0.1984168,-0.1984168,-0.19841679,-0.1984168,-0.1984168,-0.19841679,-0.19836027,-0.19841679,-0.19841679,-0.19841679,-0.1984168,-0.19841679,-0.19841678,-0.1984168
(pm)-N-Propylamphetamine,-0.01538595,0.5378738,,,0.2750494,,,,-0.5073039,,,,,-0.4993229,,,-0.5186247,,,0.9529099,,,,0.07553676,,-0.5558981,-0.5673602,-0.5637691,-0.463532,5.580252,5.017648,-0.5550353,-0.5771709,1.287632,1.737665,2.20566,-0.5450395,,-0.5470522,,,,,,,-0.5705247,-0.5731721,-0.5664808,,-0.574828,-0.5594817,-0.5299485,-0.5441604,,,,-0.4883905,-0.4246777,,,,-0.585925,-0.5775897,-0.579388,-0.5871012,-0.5720018,-0.5845878,,-0.5871368,-0.5699121,-0.5881631,4.723673,,-0.5404475,-0.5547571,-0.5075471,2.242816,1.700587,,,-0.4651763,-0.4803368,,,-0.4822434,0.875621,,,-0.5045137,,,,,,,,,,,,,,,,,,,,0.7712658,,,,,,,
(pm)-Norketamine,0.14106916,1.30709613,,0.55324282,0.34875043,,,-0.22524339,,0.48283292,,-0.27176725,-0.11414577,,,-0.09154959,,,0.43724997,0.21233178,,,,-0.21986382,,-0.5685084,,,-1.22259846,-0.87139552,-0.8072226,,,-0.68228107,-0.13583707,0.42359558,,,,,,,,,,-1.09421757,,,,,,,,,,,,,,,,-0.73033936,,,,,,,,,,-0.38315327,,,,,-0.52005616,0.28237916,,,,,2.84333194,,,-1.56555636,,-0.58673518,,,,,,2.50198418,0.56935605,0.75027144,1.08121359,2.438342,,,0.96404107,0.76895782,-0.4473433,,-0.34011563,,-0.15042716,,3.1195194,-0.27630768,-1.56602255,-0.27770355,0.16264332,-1.56609641,,0.16529788
(pm)-Phenylpropanolamine,-1.056547654,-0.159794163,0.252047922,-0.327203093,-0.210428128,-0.347595582,-0.19245055,-0.544585122,0.07611965,0.500175212,-0.3983434,-0.085346427,-1.056868777,-0.506635395,-0.082709438,0.409027102,-0.066531641,0.344033295,0.6524309,-0.873637305,-0.167663531,-0.114805942,0.999724301,0.442853946,0.946153408,0.055241334,0.023079904,-0.525556639,-0.842531715,0.815121447,0.055242985,-0.187940449,-0.697761425,-1.068902601,-0.649980683,-1.067246869,-0.927441601,2.356948353,-0.60540877,0.947193772,2.739604689,3.073189824,1.31895382,0.488977171,1.139877053,-0.116298396,-1.07067007,-1.069201479,-1.068592531,-1.071033482,-1.067665357,-0.16557462,-0.827355998,-0.884982695,-0.423812151,-0.878095609,1.974791527,2.269110649,0.677796542,0.598139,-0.139996849,-1.073469003,-1.071639605,-1.072034305,-1.073727145,-1.07041321,-1.008000402,-1.049597327,-1.073734955,-1.069954577,-1.060471168,-0.747777525,-0.697667313,-0.013917432,-0.869317948,-1.056267023,-0.81603878,-0.989386556,2.181934797,2.88624429,2.907557804,1.774305733,-0.181306029,,0.581586876,,,0.30176317,-1.05560126,0.68944673,0.36686105,1.39549159,0.682905195,0.59287175,-0.418350161,0.065118976,-0.277028844,-1.053759393,0.407893429,0.686328033,-0.062467486,0.006021333,-1.060703788,-0.193494064,0.96586873,0.026740892,-0.109037161,-0.189852019,-0.199417648,-1.056525137,,0.064775113,0.129562315,,1.036697053,-1.064150251
"(R*,S*)-2,3-Dihydroxybutanoic acid",,2.1291144,1.627082,1.2978928,1.3036766,1.029017,-0.5680861,1.1921804,1.4691828,0.3567485,-0.5680903,1.987368,,-0.5680801,1.6785444,1.4729154,1.543924,-0.5680764,1.4822571,1.3166718,1.5063029,-0.5680801,1.95053,-0.5680741,2.2277639,-0.3970884,-0.5681375,-0.5681345,-0.43722,-0.1989683,2.262849,-0.1857858,-0.377988,,-0.5681295,,-0.5681187,-0.568008,-0.2860479,-0.370506,-0.5679832,-0.5679835,-0.5680208,-0.3474621,-0.5680315,-0.5681402,,,,,,-0.5681059,-0.5681179,-0.5681244,-0.5681187,-0.5680819,-0.5680709,-0.5680171,-0.4325296,-0.2627464,-0.5680283,-0.5021367,,,,,-0.4137796,-0.5681472,,,-0.568155,-0.3733825,-0.1571012,-0.3184527,-0.5681269,,-0.2216649,-0.5681341,-0.5680356,-0.5680157,-0.5680513,-0.5262544,2.4782666,3.2121215,1.9617341,3.8066552,2.5322484,1.7355381,,-0.5680732,-0.5680658,-0.5680727,-0.5680773,-0.5680816,-0.5680936,-0.5680992,-0.5680888,,-0.5680942,0.349846,-0.5680914,-0.5680828,,-0.5681045,-0.5680856,-0.5681005,-0.568103,-0.5680944,-0.5680778,,-0.5680835,-0.5680852,-0.5681017,-0.5680906,-0.5680655,
