Unnamed: 0_level_0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140
nan,pls_74__12012022,pls_71_a_12012022,pls_106_13012022,pls_104_13012022,pls_102_13012022,pls_100_13012022,pls_103_14012022,pls_101_REP_14012022,pls_75_13012022,pls_84__12012022,pls_107_a_12012022,pls_109_13012022,pls_113_13012022,pls_108_13012022,pls_110_13012022,pls_112_13012022,pls_116__12012022,pls_121_a_12012022,pls_118_a_12012022,pls_119_13012022,pls_115_13012022,pls_89_14012022,pls_120_13012022,pls_88_13012022,pls_129__12012022,pls_127_a_12012022,pls_70_a_12012022,pls_97_13012022,pls_123_13012022,pls_96a_14012022,pls_128_rep_14012022,pls_126_14012022,pls_124_14012022,pls_125_13012022,LPS934_150124,LPS935_150124,LPS936_150124,LPS937_150124,LPS938_150124,LPS939_150124,LPS940_150124,LPS941_150124,LPS942_150124,LPS943_150124,LPS944_160124,LPS945_160124,LPS946_160124,LPS947_160124,LPS948_160124,LPS949_160124,LPS950_160124,LPS951_160124,LPS952_160124,LPS953_160124,LPS954_160124,LPS955_160124,LPS956_160124,LPS957_160124,LPS958_160124,LPS959_160124,LPS960_160124,LPS961_160124,LPS962_160124,LPS963_160124,VECPAC_3307_290124,VECPAC_3319_290124,VECPAC_3329_290124,VECPAC_3336_290124,VECPAC_3337_290124,VECPAC_3354_290124,VECPAC_3371_290124,VECPAC3302_260124,VECPAC3353_260124,VECPAC3369_260124,VECPAC3673_250124,VECPAC3674_250124,VECPAC3675_250124,VECPAC3677_250124,VECPAC3678_250124,VECPAC3679_250124,VECPAC3680_250124,VECPAC3681_250124,VECPAC3687_260124,VECPAC3688_260124,VECPAC3697_260124,VECPAC_3347_290124,VECPAC_3352_290124,VECPAC_3355_290124,VECPAC_3664_290124,VECPAC_3665_290124,VECPAC_3689_290124,VECPAC3296_300124,VECPAC3303_300124,VECPAC3304_300124,VECPAC3306_300124,VECPAC3318_300124,VECPAC3328_300124,VECPAC3330_300124,VECPAC3334_300124,VECPAC3356_300124,VECPAC3370_300124,DSS73_REP_190124,DSS76_REP_190124,DSS77_REP_190124,DSS896_180124,DSS897_180124,DSST0.5_180124,DSST0.6_180124,DSST0.7_180124,DSST0.8_180124,DSS107_190124,DSS901_190124,DSS902_190124,DSST1.5_190124,DSST1.6_190124,DSST1.7_190124,DSST1.8_190124,DSS85_230124,DSS87_230124,DSS90_230124,DSS117_REP_310124,DSS122_230124,DSS906_230124,DSS907_230124,DSST3.6_230124,DSST3.7_230124,DSST3.8_230124,DSS91_REP_310124,DSS94_250124,DSS95_250124,DSS125_250124,DSS126_250124,DSS127_250124,DSS129_250124,DSS911_REP_250124,DSS912_REP_250124,DSST5.5_REP_250124,DSST5.6_REP_250124,DSST5.7_REP_250124,DSST5.8_250124
nan,T0,T0,T0,T0,T0,T0,T0,T0,T0,T1,T1,T1,T1,T1,T1,T1,T3,T3,T3,T3,T3,T3,T3,T3,T5,T5,T5,T5,T5,T5,T5,T5,T5,T5,LPS-CTR,LPS-CTR,LPS-CTR,LPS-CTR,LPS-CTR,LPS-CTR,LPS-CTR,LPS-CTR,LPS-CTR,LPS-CTR,"LPS-2,5h","LPS-2,5h","LPS-2,5h","LPS-2,5h","LPS-2,5h","LPS-2,5h","LPS-2,5h","LPS-2,5h","LPS-2,5h","LPS-2,5h",LPS-24h,LPS-24h,LPS-24h,LPS-24h,LPS-24h,LPS-24h,LPS-24h,LPS-24h,LPS-24h,LPS-24h,VECPAC-CRE-,VECPAC-CRE-,VECPAC-CRE-,VECPAC-CRE-,VECPAC-CRE-,VECPAC-CRE-,VECPAC-CRE-,VECPAC-CRE-,VECPAC-CRE-,VECPAC-CRE-,VECPAC-CRE-,VECPAC-CRE-,VECPAC-CRE-,VECPAC-CRE-,VECPAC-CRE-,VECPAC-CRE-,VECPAC-CRE-,VECPAC-CRE-,VECPAC-CRE-,VECPAC-CRE-,VECPAC-CRE-,VECPAC-CRE+,VECPAC-CRE+,VECPAC-CRE+,VECPAC-CRE+,VECPAC-CRE+,VECPAC-CRE+,VECPAC-CRE+,VECPAC-CRE+,VECPAC-CRE+,VECPAC-CRE+,VECPAC-CRE+,VECPAC-CRE+,VECPAC-CRE+,VECPAC-CRE+,VECPAC-CRE+,VECPAC-CRE+,T0,T0,T0,T0,T0,T0,T0,T0,T0,T1,T1,T1,T1,T1,T1,T1,T3,T3,T3,T3,T3,T3,T3,T3,T3,T3,T5,T5,T5,T5,T5,T5,T5,T5,T5,T5,T5,T5,T5
NAME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(2S,3R)-3-[(4E,7E)-Nona-4,7-dienoyl]-N,N-bis(trimethylsilyl)oxirane-2-carboxamide ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(6S)-5-Methyltetrahydrofolic acid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(9H-fluoren-9-yl)methanol, O-methoxycarbonyl-",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(CH3)2C=NC2H558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(pm)-alpha-Tocopherol acetate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(pm)-N-Propylamphetamine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
